batch 0: Pandas(Index=0, rally_id=2, player=1, type=1, player_location_area=8.0, opponent_location_area=8.0, hit_area=7, player_location_x=0.066525905759233, player_location_y=0.8842830930602202, opponent_location_x=-0.3679183993593016, opponent_location_y=-0.8490659150160242, ball_round=1, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 11: Pandas(Index=11, rally_id=2, player=2, type=4, player_location_area=8.0, opponent_location_area=8.0, hit_area=3, player_location_x=-0.5315821272802366, player_location_y=-1.3719453406716668, opponent_location_x=-0.0501758501276413, opponent_location_y=1.2593724427023638, ball_round=12, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 12: Pandas(Index=12, rally_id=2, player=1, type=5, player_location_area=8.0, opponent_location_area=8.0, hit_area=8, player_location_x=0.7125708020988131, player_location_y=1.1405640988561183, opponent_location_x=-0.1812708430769839, opponent_location_y=-1.2925914617813623, ball_round=13, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 13: Pandas(Index=13, rally_id=2, player=2, type=8, player_location_area=8.0, opponent_location_area=8.0, hit_area=8, player_location_x=0.7321835403122325, player_location_y=-0.5570285995211472, opponent_location_x=0.3837500935212668, opponent_location_y=1.0459583804195471, ball_round=14, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 14: Pandas(Index=14, rally_id=2, player=1, type=9, player_location_area=9.0, opponent_location_area=8.0, hit_area=8, player_location_x=-0.6225732840317648, player_location_y=1.5461022327820917, opponent_location_x=-0.1470632635695633, opponent_location_y=-0.9316239302548472, ball_round=15, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 15: Pandas(Index=15, rally_id=2, player=2, type=6, player_location_area=8.0, opponent_location_area=8.0, hit_area=8, player_location_x=-0.5574961671852533, player_location_y=-0.6525677165918896, opponent_location_x=-0.3511342935785725, opponent_location_y=1.220769620900293, ball_round=16, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 16: Pandas(Index=16, rally_id=2, player=1, type=5, player_location_area=8.0, opponent_location_area=8.0, hit_area=8, player_location_x=0.3581147770897613, player_location_y=1.0772575966043536, opponent_location_x=0.1046860602451435, opponent_location_y=-0.83526070533199, ball_round=17, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 17: Pandas(Index=17, rally_id=2, player=2, type=2, player_location_area=8.0, opponent_location_area=8.0, hit_area=9, player_location_x=-0.6800260351643709, player_location_y=-1.256279810104488, opponent_location_x=-0.1755939505558366, opponent_location_y=1.1220512263182758, ball_round=18, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 18: Pandas(Index=18, rally_id=2, player=1, type=2, player_location_area=9.0, opponent_location_area=8.0, hit_area=4, player_location_x=-0.8033164550535346, player_location_y=1.5524607047601957, opponent_location_x=-0.1097580076355713, opponent_location_y=-0.9194562362611908, ball_round=19, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 19: Pandas(Index=19, rally_id=2, player=2, type=4, player_location_area=9.0, opponent_location_area=8.0, hit_area=9, player_location_x=-0.8061114212509191, player_location_y=-1.4124939461358494, opponent_location_x=-0.2048794815444568, opponent_location_y=1.1527650551400523, ball_round=20, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 20: Pandas(Index=20, rally_id=2, player=1, type=5, player_location_area=8.0, opponent_location_area=9.0, hit_area=8, player_location_x=0.5777419997599519, player_location_y=1.0308554833423258, opponent_location_x=-0.4976310967742827, opponent_location_y=-1.4906654070125398, ball_round=21, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 21: Pandas(Index=21, rally_id=2, player=2, type=8, player_location_area=8.0, opponent_location_area=8.0, hit_area=2, player_location_x=0.6452906810128615, player_location_y=-0.5462221291282038, opponent_location_x=0.4449361896043716, opponent_location_y=1.0303899840123052, ball_round=22, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 22: Pandas(Index=22, rally_id=2, player=1, type=2, player_location_area=9.0, opponent_location_area=8.0, hit_area=4, player_location_x=-0.4956700286677616, player_location_y=1.683350320709226, opponent_location_x=-0.0130618310773174, opponent_location_y=-0.9190466581779784, ball_round=23, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 23: Pandas(Index=23, rally_id=2, player=2, type=4, player_location_area=5.0, opponent_location_area=8.0, hit_area=3, player_location_x=-0.9829997109201896, player_location_y=-1.2960994728192814, opponent_location_x=-0.2327677188444904, opponent_location_y=1.2362462047909126, ball_round=24, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 24: Pandas(Index=24, rally_id=2, player=1, type=5, player_location_area=8.0, opponent_location_area=3.0, hit_area=8, player_location_x=-0.2386581702126307, player_location_y=1.2362260181325002, opponent_location_x=-1.4573626015825918, opponent_location_y=-1.5083096895027992, ball_round=25, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 25: Pandas(Index=25, rally_id=2, player=2, type=3, player_location_area=8.0, opponent_location_area=8.0, hit_area=5, player_location_x=-0.6944852389371915, player_location_y=-0.641763327791752, opponent_location_x=-0.5160610335496288, opponent_location_y=1.1208698334801774, ball_round=26, set=1, match_id=1, getpoint_player=nan, roundscore_A=2, roundscore_B=1)
batch 26: Pandas(Index=26, rally_id=2, player=1, type=9, player_location_area=6.0, opponent_location_area=8.0, hit_area=9, player_location_x=0.9349354272401904, player_location_y=1.5092855525996995, opponent_location_x=0.3396311217379966, opponent_location_y=-1.0021940377416838, ball_round=27, set=1, match_id=1, getpoint_player='B', roundscore_A=2, roundscore_B=1)
batch 27: Pandas(Index=27, rally_id=4, player=1, type=1, player_location_area=8.0, opponent_location_area=8.0, hit_area=7, player_location_x=-0.0933998354630256, player_location_y=0.842605501916528, opponent_location_x=0.7043004510171301, opponent_location_y=-0.7624253706426677, ball_round=1, set=1, match_id=1, getpoint_player=nan, roundscore_A=3, roundscore_B=2)
batch 28: Pandas(Index=28, rally_id=4, player=2, type=3, player_location_area=8.0, opponent_location_area=8.0, hit_area=8, player_location_x=0.2457731054956984, player_location_y=-0.6152224844958045, opponent_location_x=0.0715073013600729, opponent_location_y=0.96534398890993, ball_round=2, set=1, match_id=1, getpoint_player=nan, roundscore_A=3, roundscore_B=2)
batch 29: Pandas(Index=29, rally_id=4, player=1, type=4, player_location_area=8.0, opponent_location_area=8.0, hit_area=9, player_location_x=-0.5348743463240352, player_location_y=1.4973540935272656, opponent_location_x=-0.1027481429103504, opponent_location_y=-1.0040818796456843, ball_round=3, set=1, match_id=1, getpoint_player=nan, roundscore_A=3, roundscore_B=2)
batch 30: Pandas(Index=30, rally_id=4, player=2, type=5, player_location_area=8.0, opponent_location_area=8.0, hit_area=8, player_location_x=-0.2768309561637924, player_location_y=-1.07850054959804, opponent_location_x=-0.5365165502316854, opponent_location_y=1.3756787798565078, ball_round=4, set=1, match_id=1, getpoint_player=nan, roundscore_A=3, roundscore_B=2)
batch 31: Pandas(Index=31, rally_id=4, player=1, type=4, player_location_area=8.0, opponent_location_area=8.0, hit_area=8, player_location_x=0.2005274731785169, player_location_y=1.3196259672434756, opponent_location_x=-0.0802153288202152, opponent_location_y=-0.991807574773556, ball_round=5, set=1, match_id=1, getpoint_player=nan, roundscore_A=3, roundscore_B=2)
batch 32: Pandas(Index=32, rally_id=4, player=2, type=5, player_location_area=8.0, opponent_location_area=8.0, hit_area=8, player_location_x=0.3092246698939851, player_location_y=-0.9901474286687508, opponent_location_x=0.3402712056121766, opponent_location_y=1.200438325117874, ball_round=6, set=1, match_id=1, getpoint_player=nan, roundscore_A=3, roundscore_B=2)
batch 33: Pandas(Index=33, rally_id=4, player=1, type=2, player_location_area=9.0, opponent_location_area=8.0, hit_area=8, player_location_x=-0.5984467267665446, player_location_y=1.5670141350590612, opponent_location_x=-0.0577537145748845, opponent_location_y=-1.0038898671034016, ball_round=7, set=1, match_id=1, getpoint_player=nan, roundscore_A=3, roundscore_B=2)
batch 34: Pandas(Index=34, rally_id=4, player=2, type=4, player_location_area=5.0, opponent_location_area=8.0, hit_area=3, player_location_x=-1.119231893802613, player_location_y=-1.3484625800751031, opponent_location_x=-0.245085725733937, opponent_location_y=1.2135776912712055, ball_round=8, set=1, match_id=1, getpoint_player=nan, roundscore_A=3, roundscore_B=2)
batch 35: Pandas(Index=35, rally_id=4, player=1, type=5, player_location_area=8.0, opponent_location_area=5.0, hit_area=8, player_location_x=-0.3629379186257314, player_location_y=1.220729102997132, opponent_location_x=-0.9237774049573496, opponent_location_y=-1.2318308981814996, ball_round=9, set=1, match_id=1, getpoint_player=nan, roundscore_A=3, roundscore_B=2)
batch 36: Pandas(Index=36, rally_id=4, player=2, type=8, player_location_area=8.0, opponent_location_area=8.0, hit_area=8, player_location_x=-0.677717716527797, player_location_y=-0.7218318145910212, opponent_location_x=-0.2980463053658997, opponent_location_y=1.0198700083973602, ball_round=10, set=1, match_id=1, getpoint_player=nan, roundscore_A=3, roundscore_B=2)
batch 37: Pandas(Index=37, rally_id=4, player=1, type=2, player_location_area=9.0, opponent_location_area=8.0, hit_area=9, player_location_x=-0.69456055404789, player_location_y=1.566696718767594, opponent_location_x=-0.1988497061305334, opponent_location_y=-0.907851479276486, ball_round=11, set=1, match_id=1, getpoint_player=nan, roundscore_A=3, roundscore_B=2)
batch 38: Pandas(Index=38, rally_id=4, player=2, type=9, player_location_area=8.0, opponent_location_area=8.0, hit_area=9, player_location_x=0.2977047002197142, player_location_y=-1.329253581778077, opponent_location_x=0.2591664636766974, opponent_location_y=1.1543698931919568, ball_round=12, set=1, match_id=1, getpoint_player=nan, roundscore_A=3, roundscore_B=2)
batch 39: Pandas(Index=39, rally_id=4, player=1, type=3, player_location_area=8.0, opponent_location_area=8.0, hit_area=8, player_location_x=0.6891706911750525, player_location_y=0.9995051938377054, opponent_location_x=0.3437675297198764, opponent_location_y=-1.1130554826577133, ball_round=13, set=1, match_id=1, getpoint_player=nan, roundscore_A=3, roundscore_B=2)
batch 40: Pandas(Index=40, rally_id=4, player=2, type=4, player_location_area=9.0, opponent_location_area=8.0, hit_area=6, player_location_x=0.9130038552254344, player_location_y=-1.3786552688086182, opponent_location_x=0.3231399232875997, opponent_location_y=1.0536157027485362, ball_round=14, set=1, match_id=1, getpoint_player=nan, roundscore_A=3, roundscore_B=2)
batch 41: Pandas(Index=41, rally_id=4, player=1, type=5, player_location_area=8.0, opponent_location_area=6.0, hit_area=8, player_location_x=0.0635949826521243, player_location_y=1.099621089879825, opponent_location_x=0.984656543383698, opponent_location_y=-1.2362578601632557, ball_round=15, set=1, match_id=1, getpoint_player=nan, roundscore_A=3, roundscore_B=2)
batch 42: Pandas(Index=42, rally_id=4, player=2, type=3, player_location_area=7.0, opponent_location_area=8.0, hit_area=7, player_location_x=-0.314457668409952, player_location_y=-0.505735054644429, opponent_location_x=-0.2886292765058664, opponent_location_y=1.1370958132630662, ball_round=16, set=1, match_id=1, getpoint_player='B', roundscore_A=3, roundscore_B=2)
batch 43: Pandas(Index=43, rally_id=7, player=1, type=1, player_location_area=8.0, opponent_location_area=8.0, hit_area=7, player_location_x=-0.1056920151323672, player_location_y=0.8508148464690777, opponent_location_x=0.7094979180610216, opponent_location_y=-0.8327177858804179, ball_round=1, set=1, match_id=1, getpoint_player=nan, roundscore_A=6, roundscore_B=2)
batch 44: Pandas(Index=44, rally_id=7, player=2, type=6, player_location_area=8.0, opponent_location_area=8.0, hit_area=8, player_location_x=0.2959168165096221, player_location_y=-0.6037256874473469, opponent_location_x=0.0170001488251718, opponent_location_y=0.932918702520853, ball_round=2, set=1, match_id=1, getpoint_player=nan, roundscore_A=6, roundscore_B=2)
batch 45: Pandas(Index=45, rally_id=7, player=1, type=6, player_location_area=8.0, opponent_location_area=8.0, hit_area=8, player_location_x=-0.2066220166201003, player_location_y=1.0596197528683913, opponent_location_x=-0.0063302743631007, opponent_location_y=-0.7537658081720527, ball_round=3, set=1, match_id=1, getpoint_player=nan, roundscore_A=6, roundscore_B=2)
batch 46: Pandas(Index=46, rally_id=7, player=2, type=6, player_location_area=8.0, opponent_location_area=8.0, hit_area=8, player_location_x=-0.0797967616647917, player_location_y=-0.8478532362784605, opponent_location_x=-0.3019567389721911, opponent_location_y=1.090566084685813, ball_round=4, set=1, match_id=1, getpoint_player=nan, roundscore_A=6, roundscore_B=2)
batch 47: Pandas(Index=47, rally_id=7, player=1, type=5, player_location_area=8.0, opponent_location_area=8.0, hit_area=8, player_location_x=-0.1819346854364797, player_location_y=1.0987669798722084, opponent_location_x=-0.0205337506927405, opponent_location_y=-0.9070969838927936, ball_round=5, set=1, match_id=1, getpoint_player=nan, roundscore_A=6, roundscore_B=2)
batch 48: Pandas(Index=48, rally_id=7, player=2, type=3, player_location_area=8.0, opponent_location_area=8.0, hit_area=8, player_location_x=0.0234476250759449, player_location_y=-0.8238129723896149, opponent_location_x=-0.1161800647142015, opponent_location_y=1.083415496679356, ball_round=6, set=1, match_id=1, getpoint_player='A', roundscore_A=6, roundscore_B=2)
batch 49: Pandas(Index=49, rally_id=12, player=2, type=1, player_location_area=8.0, opponent_location_area=8.0, hit_area=7, player_location_x=0.1627271489852439, player_location_y=-0.7880237279652249, opponent_location_x=-0.418277788858644, opponent_location_y=1.0352655425979336, ball_round=1, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 50: Pandas(Index=50, rally_id=12, player=1, type=3, player_location_area=8.0, opponent_location_area=8.0, hit_area=7, player_location_x=-0.5971798624743179, player_location_y=0.7825735796889278, opponent_location_x=0.001575450580258, opponent_location_y=-0.8712255174164382, ball_round=2, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 51: Pandas(Index=51, rally_id=12, player=2, type=2, player_location_area=8.0, opponent_location_area=8.0, hit_area=9, player_location_x=0.5775267949571483, player_location_y=-1.3540169659185448, opponent_location_x=0.2953027194081674, opponent_location_y=0.9981199517320546, ball_round=3, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 52: Pandas(Index=52, rally_id=12, player=1, type=9, player_location_area=9.0, opponent_location_area=8.0, hit_area=8, player_location_x=0.4440083378341889, player_location_y=1.6186209743068414, opponent_location_x=0.2317798834048968, opponent_location_y=-1.1761639118256153, ball_round=4, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 53: Pandas(Index=53, rally_id=12, player=2, type=3, player_location_area=8.0, opponent_location_area=8.0, hit_area=8, player_location_x=-0.4826551629310217, player_location_y=-0.7673845886914906, opponent_location_x=-0.0211245174039469, opponent_location_y=1.3482514536838028, ball_round=5, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 54: Pandas(Index=54, rally_id=12, player=1, type=4, player_location_area=9.0, opponent_location_area=8.0, hit_area=9, player_location_x=-0.6415927051304103, player_location_y=1.5944776442452344, opponent_location_x=-0.2452405190848688, opponent_location_y=-1.0046899621220555, ball_round=6, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 55: Pandas(Index=55, rally_id=12, player=2, type=5, player_location_area=8.0, opponent_location_area=4.0, hit_area=8, player_location_x=-0.349196048055773, player_location_y=-0.9686804957049172, opponent_location_x=-0.9603230783359704, opponent_location_y=1.565819036989053, ball_round=7, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 56: Pandas(Index=56, rally_id=12, player=1, type=8, player_location_area=8.0, opponent_location_area=8.0, hit_area=7, player_location_x=-0.5127767270229308, player_location_y=0.8493608445010666, opponent_location_x=-0.1852418727320088, opponent_location_y=-1.0044339194730896, ball_round=8, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 57: Pandas(Index=57, rally_id=12, player=2, type=2, player_location_area=9.0, opponent_location_area=8.0, hit_area=9, player_location_x=0.9052383178395442, player_location_y=-1.378689512088563, opponent_location_x=0.1653867050529409, opponent_location_y=1.0999751869202037, ball_round=9, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 58: Pandas(Index=58, rally_id=12, player=1, type=9, player_location_area=3.0, opponent_location_area=8.0, hit_area=8, player_location_x=1.1262800315751826, player_location_y=1.600297749431243, opponent_location_x=0.3419183313589958, opponent_location_y=-1.0634944134591209, ball_round=10, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 59: Pandas(Index=59, rally_id=12, player=2, type=3, player_location_area=8.0, opponent_location_area=8.0, hit_area=8, player_location_x=0.5507076287021281, player_location_y=-0.8927288594103224, opponent_location_x=0.7816510009107026, opponent_location_y=1.394626836680575, ball_round=11, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 60: Pandas(Index=60, rally_id=12, player=1, type=9, player_location_area=9.0, opponent_location_area=8.0, hit_area=4, player_location_x=-0.5833643298799109, player_location_y=1.5392635257590783, opponent_location_x=-0.0577080727695757, opponent_location_y=-0.9432822041356096, ball_round=12, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 61: Pandas(Index=61, rally_id=12, player=2, type=3, player_location_area=8.0, opponent_location_area=8.0, hit_area=1, player_location_x=-0.6405575910211094, player_location_y=-0.7101511804061437, opponent_location_x=-0.2349744899749467, opponent_location_y=1.1372816803310972, ball_round=13, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 62: Pandas(Index=62, rally_id=12, player=1, type=9, player_location_area=8.0, opponent_location_area=8.0, hit_area=6, player_location_x=-0.7426759080003121, player_location_y=1.468363578220271, opponent_location_x=-0.2587770080342219, opponent_location_y=-0.9320976217853844, ball_round=14, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 63: Pandas(Index=63, rally_id=12, player=2, type=3, player_location_area=8.0, opponent_location_area=8.0, hit_area=5, player_location_x=-0.6814281300483226, player_location_y=-0.6644766235277801, opponent_location_x=-0.2864335746779459, opponent_location_y=1.213435640737306, ball_round=15, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 64: Pandas(Index=64, rally_id=12, player=1, type=2, player_location_area=9.0, opponent_location_area=8.0, hit_area=9, player_location_x=0.4669182426036352, player_location_y=1.6118518272704392, opponent_location_x=0.2103578191209595, opponent_location_y=-0.930108384065635, ball_round=16, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 65: Pandas(Index=65, rally_id=12, player=2, type=9, player_location_area=8.0, opponent_location_area=8.0, hit_area=3, player_location_x=-0.6792733640519947, player_location_y=-1.2435064947860075, opponent_location_x=-0.1329386898232398, opponent_location_y=1.2063934217292651, ball_round=17, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 66: Pandas(Index=66, rally_id=12, player=1, type=8, player_location_area=8.0, opponent_location_area=8.0, hit_area=2, player_location_x=-0.791117727614502, player_location_y=0.8401112730641179, opponent_location_x=-0.50344306543125, opponent_location_y=-1.0794738726179645, ball_round=18, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 67: Pandas(Index=67, rally_id=12, player=2, type=2, player_location_area=8.0, opponent_location_area=8.0, hit_area=3, player_location_x=-0.5471112972257689, player_location_y=-1.372013742657978, opponent_location_x=-0.2736519680399927, opponent_location_y=1.0278712515445527, ball_round=19, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 68: Pandas(Index=68, rally_id=12, player=1, type=2, player_location_area=4.0, opponent_location_area=8.0, hit_area=6, player_location_x=-0.9128043975032886, player_location_y=1.5867007458771991, opponent_location_x=-0.277365988325978, opponent_location_y=-1.1032930211690322, ball_round=20, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 69: Pandas(Index=69, rally_id=12, player=2, type=2, player_location_area=9.0, opponent_location_area=8.0, hit_area=3, player_location_x=-0.7740555295616264, player_location_y=-1.3992075342985464, opponent_location_x=-0.2639875064304207, opponent_location_y=1.167883213662644, ball_round=21, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 70: Pandas(Index=70, rally_id=12, player=1, type=2, player_location_area=9.0, opponent_location_area=8.0, hit_area=4, player_location_x=-0.6568973259516613, player_location_y=1.6150051211927792, opponent_location_x=-0.3297036698125979, opponent_location_y=-1.0787276435052744, ball_round=22, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 71: Pandas(Index=71, rally_id=12, player=2, type=9, player_location_area=9.0, opponent_location_area=8.0, hit_area=3, player_location_x=-0.6339370427774786, player_location_y=-1.398588972232921, opponent_location_x=-0.1931115426639533, opponent_location_y=1.1451233564521524, ball_round=23, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 72: Pandas(Index=72, rally_id=12, player=1, type=7, player_location_area=8.0, opponent_location_area=8.0, hit_area=2, player_location_x=-0.6699858643261968, player_location_y=0.8073648615451562, opponent_location_x=-0.4145088835551246, opponent_location_y=-1.1287919505146302, ball_round=24, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 73: Pandas(Index=73, rally_id=12, player=2, type=3, player_location_area=7.0, opponent_location_area=8.0, hit_area=7, player_location_x=0.4052060777466044, player_location_y=-0.3183935205159557, opponent_location_x=-0.000856992074377, opponent_location_y=0.8511892902283021, ball_round=25, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 74: Pandas(Index=74, rally_id=12, player=1, type=9, player_location_area=8.0, opponent_location_area=8.0, hit_area=4, player_location_x=-0.4126246430467931, player_location_y=1.4266425923344066, opponent_location_x=0.0015161861150597, opponent_location_y=-0.8593547279490054, ball_round=26, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 75: Pandas(Index=75, rally_id=12, player=2, type=7, player_location_area=8.0, opponent_location_area=8.0, hit_area=1, player_location_x=-0.8528790700595156, player_location_y=-0.8157274581329622, opponent_location_x=-0.3606534619000843, opponent_location_y=1.28069101759285, ball_round=27, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 76: Pandas(Index=76, rally_id=12, player=1, type=8, player_location_area=8.0, opponent_location_area=8.0, hit_area=7, player_location_x=-0.1808298355348824, player_location_y=0.775689190336891, opponent_location_x=-0.1543893779988214, opponent_location_y=-0.9196452823204576, ball_round=28, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 77: Pandas(Index=77, rally_id=12, player=2, type=9, player_location_area=8.0, opponent_location_area=8.0, hit_area=9, player_location_x=0.6085213019904345, player_location_y=-1.3538805947809482, opponent_location_x=0.3185010425605866, opponent_location_y=1.022032906724429, ball_round=29, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 78: Pandas(Index=78, rally_id=12, player=1, type=7, player_location_area=8.0, opponent_location_area=8.0, hit_area=8, player_location_x=-0.5810995861498055, player_location_y=0.7405527639591968, opponent_location_x=0.079332847033923, opponent_location_y=-1.176824397937769, ball_round=30, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 79: Pandas(Index=79, rally_id=12, player=2, type=7, player_location_area=7.0, opponent_location_area=8.0, hit_area=7, player_location_x=-0.7881177398076052, player_location_y=-0.4417633087004213, opponent_location_x=-0.4000598255516047, opponent_location_y=0.8907977857152858, ball_round=31, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
batch 80: Pandas(Index=80, rally_id=12, player=1, type=8, player_location_area=2.0, opponent_location_area=8.0, hit_area=2, player_location_x=-0.8995434268561409, player_location_y=0.4780485768182956, opponent_location_x=-0.5954436366458729, opponent_location_y=-0.5513052825498143, ball_round=32, set=1, match_id=1, getpoint_player=nan, roundscore_A=7, roundscore_B=6)
